id,id_index,kode_provinsi,nama_provinsi,periode_update,klinik,kategori,jumlah,satuan,tahun
15,3015,35,JAWA TIMUR,2018-01,GIGI & MULUT,PEREMPUAN,133.0,PASIEN,2018
16,3116,35,JAWA TIMUR,2018-01,EKSEKUTIF ANAK,LAKI LAKI,13.0,PASIEN,2018
16,3216,35,JAWA TIMUR,2018-01,EKSEKUTIF ANAK,PEREMPUAN,17.0,PASIEN,2018
17,3317,35,JAWA TIMUR,2018-01,EKSEKUTIF INTERNE/PENYAKIT DALAM,LAKI LAKI,97.0,PASIEN,2018
17,3417,35,JAWA TIMUR,2018-01,EKSEKUTIF INTERNE/PENYAKIT DALAM,PEREMPUAN,147.0,PASIEN,2018
18,3518,35,JAWA TIMUR,2018-01,BEDAH UROLOGI,LAKI LAKI,271.0,PASIEN,2018
18,3618,35,JAWA TIMUR,2018-01,BEDAH UROLOGI,PEREMPUAN,114.0,PASIEN,2018
19,3719,35,JAWA TIMUR,2018-01,KULIT & KELAMIN,LAKI LAKI,117.0,PASIEN,2018
19,3819,35,JAWA TIMUR,2018-01,KULIT & KELAMIN,PEREMPUAN,144.0,PASIEN,2018
20,3920,35,JAWA TIMUR,2018-01,PSIKIATRI/JIWA,LAKI LAKI,36.0,PASIEN,2018
20,4020,35,JAWA TIMUR,2018-01,PSIKIATRI/JIWA,PEREMPUAN,74.0,PASIEN,2018
21,4121,35,JAWA TIMUR,2018-01,BEDAH SYARAF,LAKI LAKI,82.0,PASIEN,2018
21,4221,35,JAWA TIMUR,2018-01,BEDAH SYARAF,PEREMPUAN,87.0,PASIEN,2018
22,4322,35,JAWA TIMUR,2018-01,EKSEKUTIF SARAF,LAKI LAKI,51.0,PASIEN,2018
22,4422,35,JAWA TIMUR,2018-01,EKSEKUTIF SARAF,PEREMPUAN,57.0,PASIEN,2018
23,4523,35,JAWA TIMUR,2018-01,REHAB MEDIK,LAKI LAKI,193.0,PASIEN,2018
23,4623,35,JAWA TIMUR,2018-01,REHAB MEDIK,PEREMPUAN,271.0,PASIEN,2018
24,4724,35,JAWA TIMUR,2018-01,POLI SPESIALIS,LAKI LAKI,1.0,PASIEN,2018
24,4824,35,JAWA TIMUR,2018-01,POLI SPESIALIS,PEREMPUAN,0.0,PASIEN,2018
25,4925,35,JAWA TIMUR,2018-01,BEDAH UMUM,LAKI LAKI,176.0,PASIEN,2018
25,5025,35,JAWA TIMUR,2018-01,BEDAH UMUM,PEREMPUAN,234.0,PASIEN,2018
26,5126,35,JAWA TIMUR,2018-01,KEBIDANAN/KANDUNGAN,LAKI LAKI,3.0,PASIEN,2018
26,5226,35,JAWA TIMUR,2018-01,KEBIDANAN/KANDUNGAN,PEREMPUAN,170.0,PASIEN,2018
27,5327,35,JAWA TIMUR,2018-01,EKSEKUTIF BEDAH ORTHOPEDI,LAKI LAKI,71.0,PASIEN,2018
27,5427,35,JAWA TIMUR,2018-01,EKSEKUTIF BEDAH ORTHOPEDI,PEREMPUAN,81.0,PASIEN,2018
28,5528,35,JAWA TIMUR,2018-01,KELUARGA BERENCANA,LAKI LAKI,0.0,PASIEN,2018
28,5628,35,JAWA TIMUR,2018-01,KELUARGA BERENCANA,PEREMPUAN,35.0,PASIEN,2018
29,5729,35,JAWA TIMUR,2018-01,JANTUNG,LAKI LAKI,271.0,PASIEN,2018
29,5829,35,JAWA TIMUR,2018-01,JANTUNG,PEREMPUAN,271.0,PASIEN,2018
30,5930,35,JAWA TIMUR,2018-01,EKSEKUTIF PSIKIATRI / JIWA,LAKI LAKI,4.0,PASIEN,2018
30,6030,35,JAWA TIMUR,2018-01,EKSEKUTIF PSIKIATRI / JIWA,PEREMPUAN,10.0,PASIEN,2018
31,6131,35,JAWA TIMUR,2018-01,GENERAL CHECKUP,LAKI LAKI,57.0,PASIEN,2018
31,6231,35,JAWA TIMUR,2018-01,GENERAL CHECKUP,PEREMPUAN,75.0,PASIEN,2018
32,6332,35,JAWA TIMUR,2018-01,SYARAF,LAKI LAKI,271.0,PASIEN,2018
32,6432,35,JAWA TIMUR,2018-01,SYARAF,PEREMPUAN,271.0,PASIEN,2018
33,6533,35,JAWA TIMUR,2018-01,PARU,LAKI LAKI,182.0,PASIEN,2018
33,6633,35,JAWA TIMUR,2018-01,PARU,PEREMPUAN,196.0,PASIEN,2018
34,6734,35,JAWA TIMUR,2018-01,EKSEKUTIF THT,LAKI LAKI,18.0,PASIEN,2018
34,6834,35,JAWA TIMUR,2018-01,EKSEKUTIF THT,PEREMPUAN,18.0,PASIEN,2018
35,6935,35,JAWA TIMUR,2018-01,EKSEKUTIF KULIT DAN KELAMIN,LAKI LAKI,15.0,PASIEN,2018
35,7035,35,JAWA TIMUR,2018-01,EKSEKUTIF KULIT DAN KELAMIN,PEREMPUAN,43.0,PASIEN,2018
36,7136,35,JAWA TIMUR,2018-01,EKSEKUTIF BEDAH UROLOGI,LAKI LAKI,42.0,PASIEN,2018
36,7236,35,JAWA TIMUR,2018-01,EKSEKUTIF BEDAH UROLOGI,PEREMPUAN,15.0,PASIEN,2018
37,7337,35,JAWA TIMUR,2018-01,INTERNE/PENY. DALAM,LAKI LAKI,271.0,PASIEN,2018
37,7437,35,JAWA TIMUR,2018-01,INTERNE/PENY. DALAM,PEREMPUAN,271.0,PASIEN,2018
38,7538,35,JAWA TIMUR,2018-01,EKSEKUTIF PARU,LAKI LAKI,10.0,PASIEN,2018
38,7638,35,JAWA TIMUR,2018-01,EKSEKUTIF PARU,PEREMPUAN,13.0,PASIEN,2018
39,7739,35,JAWA TIMUR,2018-01,EKSEKUTIF JANTUNG,LAKI LAKI,77.0,PASIEN,2018
39,7839,35,JAWA TIMUR,2018-01,EKSEKUTIF JANTUNG,PEREMPUAN,103.0,PASIEN,2018
40,7940,35,JAWA TIMUR,2018-01,ANASTESI,LAKI LAKI,1.0,PASIEN,2018
40,8040,35,JAWA TIMUR,2018-01,ANASTESI,PEREMPUAN,4.0,PASIEN,2018
41,8141,35,JAWA TIMUR,2018-01,EKSEKUTIF PALIATIF NYERI,LAKI LAKI,11.0,PASIEN,2018
41,8241,35,JAWA TIMUR,2018-01,EKSEKUTIF PALIATIF NYERI,PEREMPUAN,18.0,PASIEN,2018
42,8342,35,JAWA TIMUR,2018-02,GIZI,LAKI LAKI,22.0,PASIEN,2018
42,8442,35,JAWA TIMUR,2018-02,GIZI,PEREMPUAN,48.0,PASIEN,2018
43,8543,35,JAWA TIMUR,2018-02,EKSEKUTIF BEDAH UMUM,LAKI LAKI,52.0,PASIEN,2018
43,8643,35,JAWA TIMUR,2018-02,EKSEKUTIF BEDAH UMUM,PEREMPUAN,69.0,PASIEN,2018
44,8744,35,JAWA TIMUR,2018-02,EKSEKUTIF GIGI DAN MULUT,LAKI LAKI,8.0,PASIEN,2018
44,8844,35,JAWA TIMUR,2018-02,EKSEKUTIF GIGI DAN MULUT,PEREMPUAN,10.0,PASIEN,2018
45,8945,35,JAWA TIMUR,2018-02,THT-KL,LAKI LAKI,160.0,PASIEN,2018
45,9045,35,JAWA TIMUR,2018-02,THT-KL,PEREMPUAN,188.0,PASIEN,2018
46,9146,35,JAWA TIMUR,2018-02,ASIH,LAKI LAKI,9.0,PASIEN,2018
46,9246,35,JAWA TIMUR,2018-02,ASIH,PEREMPUAN,102.0,PASIEN,2018
47,9347,35,JAWA TIMUR,2018-02,EKSEKUTIF ENDOSKOPI,LAKI LAKI,13.0,PASIEN,2018
47,9447,35,JAWA TIMUR,2018-02,EKSEKUTIF ENDOSKOPI,PEREMPUAN,7.0,PASIEN,2018
48,9548,35,JAWA TIMUR,2018-02,ANAK,LAKI LAKI,122.0,PASIEN,2018
48,9648,35,JAWA TIMUR,2018-02,ANAK,PEREMPUAN,84.0,PASIEN,2018
49,9749,35,JAWA TIMUR,2018-02,BEDAH ORTHOPEDI,LAKI LAKI,254.0,PASIEN,2018
49,9849,35,JAWA TIMUR,2018-02,BEDAH ORTHOPEDI,PEREMPUAN,271.0,PASIEN,2018
50,9950,35,JAWA TIMUR,2018-02,EKSEKUTIF REHAB MEDIK,LAKI LAKI,29.0,PASIEN,2018
50,10050,35,JAWA TIMUR,2018-02,EKSEKUTIF REHAB MEDIK,PEREMPUAN,53.0,PASIEN,2018
51,10151,35,JAWA TIMUR,2018-02,EKSEKUTIF BEDAH SARAF,LAKI LAKI,21.0,PASIEN,2018
51,10251,35,JAWA TIMUR,2018-02,EKSEKUTIF BEDAH SARAF,PEREMPUAN,27.0,PASIEN,2018
52,10352,35,JAWA TIMUR,2018-02,EKSEKUTIF MATA,LAKI LAKI,27.0,PASIEN,2018
52,10452,35,JAWA TIMUR,2018-02,EKSEKUTIF MATA,PEREMPUAN,47.0,PASIEN,2018
53,10553,35,JAWA TIMUR,2018-02,MATA,LAKI LAKI,271.0,PASIEN,2018
53,10653,35,JAWA TIMUR,2018-02,MATA,PEREMPUAN,271.0,PASIEN,2018
54,10754,35,JAWA TIMUR,2018-02,EKSEKUTIF KEBIDANAN/KANDUNGAN,LAKI LAKI,0.0,PASIEN,2018
54,10854,35,JAWA TIMUR,2018-02,EKSEKUTIF KEBIDANAN/KANDUNGAN,PEREMPUAN,69.0,PASIEN,2018
55,10955,35,JAWA TIMUR,2018-02,GIGI & MULUT,LAKI LAKI,82.0,PASIEN,2018
55,11055,35,JAWA TIMUR,2018-02,GIGI & MULUT,PEREMPUAN,120.0,PASIEN,2018
56,11156,35,JAWA TIMUR,2018-02,EKSEKUTIF ANAK,LAKI LAKI,16.0,PASIEN,2018
56,11256,35,JAWA TIMUR,2018-02,EKSEKUTIF ANAK,PEREMPUAN,15.0,PASIEN,2018
57,11357,35,JAWA TIMUR,2018-02,BEDAH UROLOGI,LAKI LAKI,271.0,PASIEN,2018
57,11457,35,JAWA TIMUR,2018-02,BEDAH UROLOGI,PEREMPUAN,101.0,PASIEN,2018
58,11558,35,JAWA TIMUR,2018-02,EKSEKUTIF INTERNE/PENYAKIT DALAM,LAKI LAKI,100.0,PASIEN,2018
58,11658,35,JAWA TIMUR,2018-02,EKSEKUTIF INTERNE/PENYAKIT DALAM,PEREMPUAN,137.0,PASIEN,2018
59,11759,35,JAWA TIMUR,2018-02,KULIT & KELAMIN,LAKI LAKI,119.0,PASIEN,2018
59,11859,35,JAWA TIMUR,2018-02,KULIT & KELAMIN,PEREMPUAN,162.0,PASIEN,2018
60,11960,35,JAWA TIMUR,2018-02,EKSEKUTIF SARAF,LAKI LAKI,54.0,PASIEN,2018
60,12060,35,JAWA TIMUR,2018-02,EKSEKUTIF SARAF,PEREMPUAN,48.0,PASIEN,2018
61,12161,35,JAWA TIMUR,2018-02,BEDAH SYARAF,LAKI LAKI,61.0,PASIEN,2018
61,12261,35,JAWA TIMUR,2018-02,BEDAH SYARAF,PEREMPUAN,77.0,PASIEN,2018
62,12362,35,JAWA TIMUR,2018-02,REHAB MEDIK,LAKI LAKI,196.0,PASIEN,2018
62,12462,35,JAWA TIMUR,2018-02,REHAB MEDIK,PEREMPUAN,267.0,PASIEN,2018
63,12563,35,JAWA TIMUR,2018-02,PSIKIATRI/JIWA,LAKI LAKI,40.0,PASIEN,2018
63,12663,35,JAWA TIMUR,2018-02,PSIKIATRI/JIWA,PEREMPUAN,72.0,PASIEN,2018
64,12764,35,JAWA TIMUR,2018-02,POLI SPESIALIS,LAKI LAKI,1.0,PASIEN,2018
64,12864,35,JAWA TIMUR,2018-02,POLI SPESIALIS,PEREMPUAN,1.0,PASIEN,2018
65,12965,35,JAWA TIMUR,2018-02,BEDAH UMUM,LAKI LAKI,169.0,PASIEN,2018
65,13065,35,JAWA TIMUR,2018-02,BEDAH UMUM,PEREMPUAN,213.0,PASIEN,2018
66,13166,35,JAWA TIMUR,2018-02,KEBIDANAN/KANDUNGAN,LAKI LAKI,7.0,PASIEN,2018
66,13266,35,JAWA TIMUR,2018-02,KEBIDANAN/KANDUNGAN,PEREMPUAN,142.0,PASIEN,2018
67,13367,35,JAWA TIMUR,2018-02,EKSEKUTIF BEDAH ORTHOPEDI,LAKI LAKI,57.0,PASIEN,2018
67,13467,35,JAWA TIMUR,2018-02,EKSEKUTIF BEDAH ORTHOPEDI,PEREMPUAN,79.0,PASIEN,2018
68,13568,35,JAWA TIMUR,2018-02,KELUARGA BERENCANA,LAKI LAKI,1.0,PASIEN,2018
68,13668,35,JAWA TIMUR,2018-02,KELUARGA BERENCANA,PEREMPUAN,34.0,PASIEN,2018
69,13769,35,JAWA TIMUR,2018-02,JANTUNG,LAKI LAKI,271.0,PASIEN,2018
69,13869,35,JAWA TIMUR,2018-02,JANTUNG,PEREMPUAN,271.0,PASIEN,2018
70,13970,35,JAWA TIMUR,2018-02,EKSEKUTIF PSIKIATRI / JIWA,LAKI LAKI,3.0,PASIEN,2018
70,14070,35,JAWA TIMUR,2018-02,EKSEKUTIF PSIKIATRI / JIWA,PEREMPUAN,7.0,PASIEN,2018
71,14171,35,JAWA TIMUR,2018-02,GENERAL CHECKUP,LAKI LAKI,40.0,PASIEN,2018
71,14271,35,JAWA TIMUR,2018-02,GENERAL CHECKUP,PEREMPUAN,108.0,PASIEN,2018
72,14372,35,JAWA TIMUR,2018-02,SYARAF,LAKI LAKI,271.0,PASIEN,2018
72,14472,35,JAWA TIMUR,2018-02,SYARAF,PEREMPUAN,271.0,PASIEN,2018
73,14573,35,JAWA TIMUR,2018-02,PARU,LAKI LAKI,161.0,PASIEN,2018
73,14673,35,JAWA TIMUR,2018-02,PARU,PEREMPUAN,177.0,PASIEN,2018
74,14774,35,JAWA TIMUR,2018-02,EKSEKUTIF THT,LAKI LAKI,24.0,PASIEN,2018
74,14874,35,JAWA TIMUR,2018-02,EKSEKUTIF THT,PEREMPUAN,23.0,PASIEN,2018
75,14975,35,JAWA TIMUR,2018-02,EKSEKUTIF BEDAH UROLOGI,LAKI LAKI,30.0,PASIEN,2018
75,15075,35,JAWA TIMUR,2018-02,EKSEKUTIF BEDAH UROLOGI,PEREMPUAN,12.0,PASIEN,2018
76,15176,35,JAWA TIMUR,2018-02,EKSEKUTIF KULIT DAN KELAMIN,LAKI LAKI,22.0,PASIEN,2018
76,15276,35,JAWA TIMUR,2018-02,EKSEKUTIF KULIT DAN KELAMIN,PEREMPUAN,47.0,PASIEN,2018
77,15377,35,JAWA TIMUR,2018-02,INTERNE/PENY. DALAM,LAKI LAKI,271.0,PASIEN,2018
77,15477,35,JAWA TIMUR,2018-02,INTERNE/PENY. DALAM,PEREMPUAN,271.0,PASIEN,2018
78,15578,35,JAWA TIMUR,2018-02,EKSEKUTIF JANTUNG,LAKI LAKI,74.0,PASIEN,2018
78,15678,35,JAWA TIMUR,2018-02,EKSEKUTIF JANTUNG,PEREMPUAN,89.0,PASIEN,2018
79,15779,35,JAWA TIMUR,2018-02,EKSEKUTIF PARU,LAKI LAKI,11.0,PASIEN,2018
79,15879,35,JAWA TIMUR,2018-02,EKSEKUTIF PARU,PEREMPUAN,10.0,PASIEN,2018
80,15980,35,JAWA TIMUR,2018-02,ANASTESI,LAKI LAKI,0.0,PASIEN,2018
80,16080,35,JAWA TIMUR,2018-02,ANASTESI,PEREMPUAN,5.0,PASIEN,2018
81,16181,35,JAWA TIMUR,2018-02,EKSEKUTIF PALIATIF NYERI,LAKI LAKI,7.0,PASIEN,2018
81,16281,35,JAWA TIMUR,2018-02,EKSEKUTIF PALIATIF NYERI,PEREMPUAN,26.0,PASIEN,2018
82,16382,35,JAWA TIMUR,2018-03,GIZI,LAKI LAKI,38.0,PASIEN,2018
82,16482,35,JAWA TIMUR,2018-03,GIZI,PEREMPUAN,30.0,PASIEN,2018
83,16583,35,JAWA TIMUR,2018-03,EKSEKUTIF BEDAH UMUM,LAKI LAKI,43.0,PASIEN,2018
83,16683,35,JAWA TIMUR,2018-03,EKSEKUTIF BEDAH UMUM,PEREMPUAN,51.0,PASIEN,2018
84,16784,35,JAWA TIMUR,2018-03,EKSEKUTIF GIGI DAN MULUT,LAKI LAKI,10.0,PASIEN,2018
84,16884,35,JAWA TIMUR,2018-03,EKSEKUTIF GIGI DAN MULUT,PEREMPUAN,17.0,PASIEN,2018
85,16985,35,JAWA TIMUR,2018-03,EKSEKUTIF PALIATIF NYERI,LAKI LAKI,13.0,PASIEN,2018
85,17085,35,JAWA TIMUR,2018-03,EKSEKUTIF PALIATIF NYERI,PEREMPUAN,22.0,PASIEN,2018
86,17186,35,JAWA TIMUR,2018-03,THT-KL,LAKI LAKI,154.0,PASIEN,2018
86,17286,35,JAWA TIMUR,2018-03,THT-KL,PEREMPUAN,183.0,PASIEN,2018
87,17387,35,JAWA TIMUR,2018-03,VCT,LAKI LAKI,1.0,PASIEN,2018
87,17487,35,JAWA TIMUR,2018-03,VCT,PEREMPUAN,0.0,PASIEN,2018
88,17588,35,JAWA TIMUR,2018-03,ASIH,LAKI LAKI,11.0,PASIEN,2018
88,17688,35,JAWA TIMUR,2018-03,ASIH,PEREMPUAN,121.0,PASIEN,2018
89,17789,35,JAWA TIMUR,2018-03,EKSEKUTIF ENDOSKOPI,LAKI LAKI,6.0,PASIEN,2018
89,17889,35,JAWA TIMUR,2018-03,EKSEKUTIF ENDOSKOPI,PEREMPUAN,8.0,PASIEN,2018
90,17990,35,JAWA TIMUR,2018-03,BEDAH ORTHOPEDI,LAKI LAKI,269.0,PASIEN,2018
90,18090,35,JAWA TIMUR,2018-03,BEDAH ORTHOPEDI,PEREMPUAN,271.0,PASIEN,2018
91,18191,35,JAWA TIMUR,2018-03,ANAK,LAKI LAKI,101.0,PASIEN,2018
91,18291,35,JAWA TIMUR,2018-03,ANAK,PEREMPUAN,102.0,PASIEN,2018
92,18392,35,JAWA TIMUR,2018-03,EKSEKUTIF REHAB MEDIK,LAKI LAKI,29.0,PASIEN,2018
92,18492,35,JAWA TIMUR,2018-03,EKSEKUTIF REHAB MEDIK,PEREMPUAN,39.0,PASIEN,2018
93,18593,35,JAWA TIMUR,2018-03,EKSEKUTIF MATA,LAKI LAKI,29.0,PASIEN,2018
93,18693,35,JAWA TIMUR,2018-03,EKSEKUTIF MATA,PEREMPUAN,55.0,PASIEN,2018
94,18794,35,JAWA TIMUR,2018-03,EKSEKUTIF BEDAH SARAF,LAKI LAKI,29.0,PASIEN,2018
94,18894,35,JAWA TIMUR,2018-03,EKSEKUTIF BEDAH SARAF,PEREMPUAN,28.0,PASIEN,2018
95,18995,35,JAWA TIMUR,2018-03,MATA,LAKI LAKI,271.0,PASIEN,2018
95,19095,35,JAWA TIMUR,2018-03,MATA,PEREMPUAN,271.0,PASIEN,2018
96,19196,35,JAWA TIMUR,2018-03,EKSEKUTIF KEBIDANAN/KANDUNGAN,LAKI LAKI,0.0,PASIEN,2018
96,19296,35,JAWA TIMUR,2018-03,EKSEKUTIF KEBIDANAN/KANDUNGAN,PEREMPUAN,65.0,PASIEN,2018
97,19397,35,JAWA TIMUR,2018-03,GIGI & MULUT,LAKI LAKI,82.0,PASIEN,2018
97,19497,35,JAWA TIMUR,2018-03,GIGI & MULUT,PEREMPUAN,127.0,PASIEN,2018
98,19598,35,JAWA TIMUR,2018-03,EKSEKUTIF ANAK,LAKI LAKI,8.0,PASIEN,2018
98,19698,35,JAWA TIMUR,2018-03,EKSEKUTIF ANAK,PEREMPUAN,8.0,PASIEN,2018
99,19799,35,JAWA TIMUR,2018-03,BEDAH UROLOGI,LAKI LAKI,271.0,PASIEN,2018
99,19899,35,JAWA TIMUR,2018-03,BEDAH UROLOGI,PEREMPUAN,110.0,PASIEN,2018
100,199100,35,JAWA TIMUR,2018-03,EKSEKUTIF INTERNE/PENYAKIT DALAM,LAKI LAKI,87.0,PASIEN,2018
100,200100,35,JAWA TIMUR,2018-03,EKSEKUTIF INTERNE/PENYAKIT DALAM,PEREMPUAN,153.0,PASIEN,2018
101,201101,35,JAWA TIMUR,2018-03,KULIT & KELAMIN,LAKI LAKI,100.0,PASIEN,2018
101,202101,35,JAWA TIMUR,2018-03,KULIT & KELAMIN,PEREMPUAN,154.0,PASIEN,2018
102,203102,35,JAWA TIMUR,2018-03,BEDAH SYARAF,LAKI LAKI,62.0,PASIEN,2018
102,204102,35,JAWA TIMUR,2018-03,BEDAH SYARAF,PEREMPUAN,76.0,PASIEN,2018
103,205103,35,JAWA TIMUR,2018-03,EKSEKUTIF SARAF,LAKI LAKI,40.0,PASIEN,2018
103,206103,35,JAWA TIMUR,2018-03,EKSEKUTIF SARAF,PEREMPUAN,53.0,PASIEN,2018
104,207104,35,JAWA TIMUR,2018-03,REHAB MEDIK,LAKI LAKI,204.0,PASIEN,2018
104,208104,35,JAWA TIMUR,2018-03,REHAB MEDIK,PEREMPUAN,271.0,PASIEN,2018
105,209105,35,JAWA TIMUR,2018-03,PSIKIATRI/JIWA,LAKI LAKI,42.0,PASIEN,2018
105,210105,35,JAWA TIMUR,2018-03,PSIKIATRI/JIWA,PEREMPUAN,83.0,PASIEN,2018
106,211106,35,JAWA TIMUR,2018-03,BEDAH UMUM,LAKI LAKI,128.0,PASIEN,2018
106,212106,35,JAWA TIMUR,2018-03,BEDAH UMUM,PEREMPUAN,200.0,PASIEN,2018
107,213107,35,JAWA TIMUR,2018-03,KEBIDANAN/KANDUNGAN,LAKI LAKI,5.0,PASIEN,2018
107,214107,35,JAWA TIMUR,2018-03,KEBIDANAN/KANDUNGAN,PEREMPUAN,170.0,PASIEN,2018
108,215108,35,JAWA TIMUR,2018-03,EKSEKUTIF BEDAH ORTHOPEDI,LAKI LAKI,68.0,PASIEN,2018
108,216108,35,JAWA TIMUR,2018-03,EKSEKUTIF BEDAH ORTHOPEDI,PEREMPUAN,89.0,PASIEN,2018
109,217109,35,JAWA TIMUR,2018-03,KELUARGA BERENCANA,LAKI LAKI,0.0,PASIEN,2018
109,218109,35,JAWA TIMUR,2018-03,KELUARGA BERENCANA,PEREMPUAN,32.0,PASIEN,2018
110,219110,35,JAWA TIMUR,2018-03,JANTUNG,LAKI LAKI,271.0,PASIEN,2018
110,220110,35,JAWA TIMUR,2018-03,JANTUNG,PEREMPUAN,271.0,PASIEN,2018
111,221111,35,JAWA TIMUR,2018-03,EKSEKUTIF PSIKIATRI / JIWA,LAKI LAKI,4.0,PASIEN,2018
111,222111,35,JAWA TIMUR,2018-03,EKSEKUTIF PSIKIATRI / JIWA,PEREMPUAN,10.0,PASIEN,2018
112,223112,35,JAWA TIMUR,2018-03,GENERAL CHECKUP,LAKI LAKI,80.0,PASIEN,2018
112,224112,35,JAWA TIMUR,2018-03,GENERAL CHECKUP,PEREMPUAN,48.0,PASIEN,2018
113,225113,35,JAWA TIMUR,2018-03,SYARAF,LAKI LAKI,271.0,PASIEN,2018
113,226113,35,JAWA TIMUR,2018-03,SYARAF,PEREMPUAN,271.0,PASIEN,2018
114,227114,35,JAWA TIMUR,2018-03,PARU,LAKI LAKI,191.0,PASIEN,2018
114,228114,35,JAWA TIMUR,2018-03,PARU,PEREMPUAN,189.0,PASIEN,2018
115,229115,35,JAWA TIMUR,2018-03,EKSEKUTIF THT,LAKI LAKI,13.0,PASIEN,2018
115,230115,35,JAWA TIMUR,2018-03,EKSEKUTIF THT,PEREMPUAN,10.0,PASIEN,2018
116,231116,35,JAWA TIMUR,2018-03,EKSEKUTIF KULIT DAN KELAMIN,LAKI LAKI,16.0,PASIEN,2018
116,232116,35,JAWA TIMUR,2018-03,EKSEKUTIF KULIT DAN KELAMIN,PEREMPUAN,30.0,PASIEN,2018
117,233117,35,JAWA TIMUR,2018-03,EKSEKUTIF BEDAH UROLOGI,LAKI LAKI,35.0,PASIEN,2018
117,234117,35,JAWA TIMUR,2018-03,EKSEKUTIF BEDAH UROLOGI,PEREMPUAN,13.0,PASIEN,2018
118,235118,35,JAWA TIMUR,2018-03,INTERNE/PENY. DALAM,LAKI LAKI,271.0,PASIEN,2018
118,236118,35,JAWA TIMUR,2018-03,INTERNE/PENY. DALAM,PEREMPUAN,271.0,PASIEN,2018
119,237119,35,JAWA TIMUR,2018-03,EKSEKUTIF JANTUNG,LAKI LAKI,66.0,PASIEN,2018
119,238119,35,JAWA TIMUR,2018-03,EKSEKUTIF JANTUNG,PEREMPUAN,80.0,PASIEN,2018
120,239120,35,JAWA TIMUR,2018-03,EKSEKUTIF PARU,LAKI LAKI,9.0,PASIEN,2018
120,240120,35,JAWA TIMUR,2018-03,EKSEKUTIF PARU,PEREMPUAN,9.0,PASIEN,2018
